metric,mean,std,seed_0,seed_1,seed_2,seed_3,seed_4
A1_kurtosis_error,0.576076,0.008273,0.567201,0.590311,0.573172,0.569879,0.579818
A2_abs_r_q95_error,0.000721,0.000210,0.000709,0.000982,0.000343,0.000793,0.000780
A3_abs_r_q99_error,0.002325,0.000506,0.002328,0.003091,0.001496,0.002402,0.002309
A4_tail_qq_error,0.000742,0.000138,0.000702,0.000980,0.000553,0.000755,0.000722
A5_hill_tail_index_error,5.802139,2.000128,7.516265,2.953330,3.880633,7.871660,6.788804
A6_path_mmd2,0.005527,0.002289,0.003506,0.005485,0.009694,0.003346,0.005602
A7_terminal_mmd2,0.011050,0.006414,0.007151,0.005616,0.022477,0.006248,0.013761
A8_increment_mmd2,0.001124,0.000065,0.001188,0.001160,0.001086,0.001015,0.001171
A9_volatility_mmd,0.058706,0.007003,0.052462,0.057591,0.071232,0.051956,0.060288
A10_terminal_swd,2.710464,1.033559,1.917889,2.075267,4.629946,1.962478,2.966738
A11_path_swd,1.333637,0.380568,1.096989,1.727988,1.847020,0.888766,1.107423
A12_rv_law_loss,0.539702,0.130000,0.531275,0.759501,0.351875,0.544690,0.511171
A13_mean_path_rmse,0.433630,0.365071,0.336037,1.048712,0.614618,0.054053,0.114730
A14_ks_logreturns,0.018946,0.002028,0.017263,0.022865,0.018738,0.017559,0.018305
A15_skewness_error,0.022881,0.011148,0.019330,0.015095,0.043851,0.012497,0.023632
A16_qq_rmse,0.000581,0.000041,0.000563,0.000662,0.000574,0.000550,0.000556
A17_terminal_ks,0.080981,0.016171,0.073730,0.090210,0.104614,0.056274,0.080078
A18_disc_score_gru,0.009185,0.009209,0.005951,0.026701,0.003204,0.009307,0.000763
A18_disc_score_mlp,0.005951,0.002921,0.008087,0.000458,0.005951,0.008697,0.006561
A19_pred_score_gru,0.050035,0.000020,0.050037,0.050021,0.050070,0.050011,0.050037
A19_pred_score_mlp,0.050323,0.000348,0.049920,0.050938,0.050402,0.050266,0.050087
A20_cov_error,60.801397,36.579851,39.620405,39.524498,132.307844,35.007571,57.546665
A21_acf_abs,0.040946,0.000550,0.041269,0.041491,0.039904,0.040962,0.041106
A22_acf_sq,0.034979,0.000556,0.035418,0.035459,0.033951,0.034864,0.035205
A23_acf_lag1_abs_error,0.048967,0.000704,0.048070,0.049819,0.048274,0.049646,0.049024
A24_acf_lag1_sq_error,0.041950,0.000701,0.040626,0.042613,0.041941,0.042429,0.042140
A25_mean_rmse,0.799048,0.796973,0.566686,2.290429,0.863845,0.044471,0.229809
A26_std_error,0.004832,0.002757,0.005448,0.000117,0.008623,0.004291,0.005681
A27_logreturn_std_error,0.000076,0.000055,0.000010,0.000132,0.000150,0.000059,0.000032
A28_kurtosis_ratio,3.097945,0.775387,2.875445,4.578397,2.294633,2.960692,2.780560
A29_sigma_mean_error,0.002245,0.000877,0.002362,0.001509,0.003899,0.001631,0.001823
A30_vol_path_rmse,1.380751,0.433553,0.942855,1.876431,1.934962,1.011623,1.137885
A31_rolling_vol_ks,0.072132,0.001372,0.072793,0.074403,0.071895,0.070537,0.071030
A32_vol_of_vol_error,0.000689,0.000092,0.000678,0.000841,0.000552,0.000699,0.000677
A33_sigma_corr,-0.002564,0.002730,-0.001968,-0.003338,-0.005218,-0.004700,0.002406
A34_sigma_rmse,0.089626,0.001225,0.089686,0.087732,0.091603,0.089566,0.089543
B_log_ret_hist_funct,2.341455,0.123301,2.290775,2.517817,2.437193,2.164924,2.296565
B_log_ret_hist_der,0.147273,0.018032,0.168015,0.124202,0.139856,0.168890,0.135402
B_log_ret_hist_sec_der,0.274661,0.068979,0.352578,0.176124,0.256239,0.352954,0.235409
B_log_ret_hist_funct_pct,9.167488,0.560604,8.986642,10.280942,8.875900,8.911884,8.782074
B_log_ret_hist_der_pct,42.590395,5.516991,51.223642,35.180325,41.466313,45.817689,39.264003
B_log_ret_hist_sec_der_pct,317953.268639,225472.595504,416708.170833,72254.445863,708409.461778,164861.352551,227532.912169
B_log_ret_hist_funct_nrmse,4.186097,0.110234,4.141981,4.342392,4.272301,4.026598,4.147212
B_log_ret_hist_der_nrmse,20.808906,1.273487,22.267634,19.145367,20.316098,22.325491,19.989941
B_log_ret_hist_sec_der_nrmse,42.980988,5.534926,49.099488,34.702350,41.857394,49.125699,40.120010
B_qq_plot_funct,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000
B_qq_plot_der,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
B_qq_plot_sec_der,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
B_qq_plot_funct_pct,9.341882,2.292841,7.913501,13.857469,8.822038,7.678145,8.438260
B_qq_plot_der_pct,7.539912,0.324411,7.445992,8.166916,7.242914,7.357906,7.485834
B_qq_plot_sec_der_pct,77.523411,7.993277,88.302895,64.380552,79.227021,74.151238,81.555349
B_qq_plot_funct_nrmse,1.686721,0.135104,1.638442,1.956100,1.608088,1.611111,1.619863
